21 21 10

99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99  7 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99  7  7  6  7  7 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99  7  6  5  5  5  6  7 99 99 99 99 99 99 99
99 99 99 99 99 99  7  6  5  4  4  4  5  6  7 99 99 99 99 99 99
99 99 99 99 99  7  6  5  4  3  3  3  4  5  6  7 99 99 99 99 99
99 99 99 99 99  7  5  4  3  2  1  2  3  4  5  7 99 99 99 99 99
99 99 99 99  7  6  5  4  3  1  0  1  3  4  5  6  7 99 99 99 99
99 99 99 99 99  7  5  4  3  2  1  2  3  4  5  7 99 99 99 99 99
99 99 99 99 99  7  6  5  4  3  3  3  4  5  6  7 99 99 99 99 99
99 99 99 99 99 99  7  6  5  4  4  4  5  6  7 99 99 99 99 99 99
99 99 99 99 99 99 99  7  6  5  5  5  6  7 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99  7  7  6  7  7 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99  7 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99 99
